timePerAuthStepAvg;timePerAuthStepSum
6112162;391178396
7848404;502297886
7869002;503616180
7795132;498888509
7853215;502605789
9865910;631418249
9601821;614516563
9568875;612408019
7794507;498848487
9586523;613537473
9589497;613727851
9531351;610006467
7859260;502992701
10050171;643211004
9694886;620472706
10030279;641937869
6052067;387332331
8162301;522387290
7932441;507676237
8212534;525602185
8064273;516113489
9648133;617480531
9630525;616353642
9608251;614928099
7878391;504217081
9605974;614782374
9669356;618838836
9595446;614108596
7821945;500604493
9631343;616405992
9606904;614841894
9683051;619715300
6007728;384494604
7825457;500829252
7832432;501275699
7774943;497596399
7830059;501123802
9645904;617337870
9680317;619540319
9696040;620546609
7828127;501000137
9631431;616411627
9624961;615997516
9654972;617918241
7856518;502817210
9662020;618369298
9628336;616213552
9643923;617211117
6038469;386462018
7863093;503237985
7862067;503172309
7831855;501238748
6051313;387284092
7804882;499512510
7810150;499849647
7897306;505427616
6022360;385431102
7822610;500647084
7820157;500490061
7804947;499516608
5987891;383225055
6017502;385120131
6021414;385370549
4229263;270672850
