timePerAuthStepAvg;timePerAuthStepSum
4926869;78829910
6595030;105520492
6439802;103036836
6413438;102615023
6759912;108158606
8258348;132133581
8246803;131948852
8285674;132570791
6491630;103866088
8339074;133425186
8467362;135477792
8156392;130502273
6695608;107129739
8433365;134933852
8132337;130117407
8201228;131219662
4750313;76005009
7310300;116964807
6510360;104165771
6445863;103133818
6380950;102095201
8462904;135406465
8283942;132543081
8351197;133619160
6563696;105019139
8476342;135621476
8204660;131274564
8114185;129826964
6350000;101600009
8323711;133179388
8280575;132489200
8250299;132004786
4569811;73116990
6495800;103932801
6399551;102392828
6382521;102120345
6442111;103073779
8161395;130582325
8212421;131398751
8318484;133095745
6539353;104629658
8188399;131014398
8335835;133373361
8206873;131309979
6260102;100161646
8212389;131398239
8145840;130333446
8215436;131446986
4610479;73767668
6383451;102135222
6338101;101409626
6346023;101536379
4621351;73941623
6442432;103078913
6496056;103936904
6400577;102409247
4571126;73138028
6414625;102634013
6458083;103329331
6408692;102539075
4611441;73783058
4648292;74372672
4489503;71832055
2977629;47642067
