timePerInitStep
1827833
1831824
1845276
1813248
1814882
1815903
1822754
1825159
1819743
1821468
1817708
1818968
1836429
1844906
1818641
1806934
1814943
1828335
1819678
1823213
1821191
1824730
1819522
1830486
1832636
1818742
1822794
1818100
1818163
1823030
1822679
1821514
1822359
1818136
1835374
1832744
1824196
1821701
1825541
1821897
1824857
1828153
1826059
1821480
1828282
1843393
1818389
1816731
1828011
1824436
1823450
1822413
1824663
1821010
1825419
1827738
1835050
1824104
1821717
1828322
1825790
1822596
1824701
