timePerAuthStepAvg;timePerAuthStepSum
8846891;9059217247
10713609;10970735949
10662950;10918861422
10637532;10892833332
10619768;10874642582
12467389;12766606622
12553851;12855143817
12428468;12726751642
10615816;10870595865
12440559;12739132458
12456038;12754983231
12520435;12820925833
10728054;10985527574
12463390;12762512186
12439805;12738360686
12484422;12784048141
8814037;9025574468
10709452;10966478855
10653876;10909569256
10618385;10873226805
10629316;10884420201
12454286;12753189229
12470468;12769759955
12521868;12822392936
10503583;10755669298
12318068;12613702182
12320573;12616267435
12304024;12599321105
10594782;10849057344
12291975;12586982868
12266552;12560949630
12248483;12542446919
8661542;8869419213
10486282;10737953235
10617312;10872127612
10520592;10773086720
10465824;10717003826
12267395;12561812772
12282890;12577679431
12300791;12596010759
10623617;10878584633
12298119;12593274630
12274493;12569081049
12259238;12553460174
10482172;10733744872
12412470;12710369802
12293807;12588858454
12295224;12590309648
8682249;8890623172
10488065;10739779033
10528807;10781499326
10624641;10879632988
8713499;8922623846
10503111;10755186433
10500662;10752678136
10466342;10717534932
8718161;8927397188
10543197;10796234477
10520937;10773440253
10485351;10736999802
8692255;8900869273
8672455;8880594636
8673278;8881437242
6886381;7051654909
