timePerAuthStepAvg;timePerAuthStepSum
3361787;13447151
3836581;15346325
3860442;15441771
3644791;14579164
3382826;13531306
3721250;14885001
3709576;14838305
3801430;15205723
3284173;13136694
3682379;14729518
3655310;14621242
3841713;15366853
3257361;13029444
3691616;14766464
3655695;14622781
3740237;14960949
3319965;13279862
3691872;14767491
3988603;15954413
4015543;16062173
3292640;13170561
3620801;14483204
3653001;14612006
3665317;14661268
3208226;12832907
3690718;14762872
3688280;14753122
3718043;14872175
3239401;12957604
3714964;14859859
3678787;14715150
3823367;15293470
3306366;13225467
3814131;15256526
3861854;15447417
3953451;15813807
3592834;14371337
4118430;16473720
3967948;15871794
4334595;17338383
4065704;16262816
4289438;17157753
4230298;16921192
4098930;16395722
3663905;14655623
4432222;17728891
3962688;15850753
3916120;15664481
3496618;13986473
3968333;15873335
4016569;16066278
4571800;18287202
3563713;14254852
3992708;15970832
4209002;16836008
4038891;16155567
3714066;14856265
4190528;16762113
3962945;15851781
4014132;16056530
2072364;8289458
2047092;8188368
2050171;8200684
2077624;8310499
