timePerAuthStep
6794649
7120732
7175057
7201185
6759085
7239738
7254812
7230898
6752576
7182437
7183236
7217140
6746017
7222112
7218016
7198362
6794583
7206652
7182239
7171290
6689148
7143113
7173918
7328252
6705367
7199719
7182086
7168110
6731174
7175256
7184193
7148341
6703397
7190000
7168099
7174399
6708256
7139596
7161213
7198760
6723799
7184011
7177273
7176264
6724724
7169105
7212826
7201539
6738818
7186562
7208072
7171557
6716947
7181070
7174176
7179334
6755627
7192079
7197206
7191871
5370990
5357985
5370527
4913177
