timePerAuthStepAvg;timePerAuthStepSum
3318041;13272166
5244799;20979199
5231842;20927369
5365005;21460020
5085209;20340837
7079703;28318812
7250711;29002844
7069182;28276731
5010417;20041668
7458921;29835687
7105616;28422467
7132813;28531255
5327544;21310179
7161422;28645688
7216842;28867371
7037624;28150498
3379491;13517965
5133188;20532753
5281233;21124933
5172701;20690806
5176037;20704149
7406324;29625296
7560013;30240052
7755652;31022609
5551664;22206657
7562450;30249803
7414021;29656085
7522424;30089698
5671228;22684913
7760912;31043650
7690995;30763980
7733458;30933834
3636067;14544270
5675205;22700822
5356024;21424098
5334087;21336350
5268275;21073103
7360140;29440563
7133712;28534849
7118958;28475835
5134727;20538911
7530635;30122541
7385926;29543704
7822362;31289449
5564621;22258485
7409916;29639665
7496895;29987581
7399139;29596559
7999528;31998112
5174754;20699017
5340374;21361496
5180654;20722619
3335745;13342980
5188223;20752895
5292265;21169063
5322542;21290168
3462109;13848437
5458655;21834623
5814398;23257592
5284568;21138275
3366790;13467163
3371409;13485638
3370511;13482044
1991158;7964632
