round;minSpace;maxSpace
1024;271;296
2048;267;294
3072;264;290
4096;259;287
5120;257;282
6144;252;280
7168;249;275
8192;243;272
9216;241;266
10240;237;264
11264;234;260
12288;228;257
13312;226;251
14336;221;249
15360;218;244
16384;211;241
17408;209;234
18432;205;232
19456;202;228
20480;197;225
21504;195;220
22528;190;218
23552;187;213
24576;180;210
25600;178;203
26624;174;201
27648;171;197
28672;165;194
29696;163;188
30720;158;186
31744;155;181
32768;146;178
33792;144;169
34816;140;167
35840;137;163
36864;132;160
37888;130;155
38912;125;153
39936;122;148
40960;116;145
41984;114;139
43008;110;137
44032;107;133
45056;101;130
46080;99;124
47104;94;122
48128;91;117
49152;83;114
50176;81;106
51200;77;104
52224;74;100
53248;69;97
54272;67;92
55296;62;90
56320;59;85
57344;52;82
58368;50;75
59392;46;73
60416;43;69
61440;37;66
62464;35;60
63488;30;58
64512;27;53
