rounds;minSpace;maxSpace
1;21;21
2;20;22
3;21;21
4;19;22
5;22;22
6;20;22
7;21;21
8;18;22
9;21;23
10;22;24
11;22;22
12;19;22
13;22;22
14;20;22
15;21;21
16;17;22
17;20;22
18;21;23
19;22;23
20;20;23
21;23;25
22;22;25
23;22;22
24;18;22
25;21;23
26;22;24
27;22;22
28;19;22
29;22;22
30;20;22
31;21;21
32;16;22
33;19;21
34;20;22
35;21;22
36;19;22
37;22;24
38;21;24
39;22;23
40;19;23
41;22;24
42;23;25
43;23;25
44;20;23
45;23;25
46;23;25
47;22;25
48;17;22
49;20;22
50;21;23
51;22;23
52;20;23
53;23;25
54;22;25
55;22;22
56;18;22
57;21;23
58;22;24
59;22;22
60;19;22
61;22;22
62;20;22
63;21;21
64;15;22
65;18;20
66;19;21
67;20;21
68;18;21
69;21;23
70;20;23
71;21;22
72;18;22
73;21;23
74;22;24
75;22;24
76;19;22
77;22;24
78;22;24
79;21;24
80;17;22
81;20;22
82;21;23
83;22;23
84;20;23
85;23;25
86;22;25
87;23;24
88;19;23
89;22;24
90;23;25
91;23;25
92;20;23
93;23;25
94;23;25
95;22;25
96;16;22
97;19;21
98;20;22
99;21;22
100;19;22
101;22;24
102;21;24
103;22;23
104;19;23
105;22;24
106;23;25
107;23;25
108;20;23
109;23;25
110;23;25
111;22;25
112;17;22
113;20;22
114;21;23
115;22;23
116;20;23
117;23;25
118;22;25
119;23;24
120;19;23
121;22;24
122;23;25
123;23;25
124;20;23
125;23;25
126;23;25
127;21;25
128;14;22
129;17;19
130;18;20
131;19;20
132;17;20
133;20;22
134;19;22
135;20;21
136;17;21
137;20;22
138;21;23
139;21;23
140;18;21
141;21;23
142;21;23
143;20;23
144;16;21
145;19;21
146;20;22
147;21;22
148;19;22
149;22;24
150;21;24
151;22;23
152;18;22
153;21;23
154;22;24
155;22;24
156;19;22
157;22;24
158;22;24
159;21;24
160;16;22
161;19;21
162;20;22
163;21;22
164;19;22
165;22;24
166;21;24
167;22;23
168;19;23
169;22;24
170;23;25
171;23;25
172;20;23
173;23;25
174;23;25
175;22;25
176;17;22
177;20;22
178;21;23
179;22;23
180;20;23
181;23;25
182;22;25
183;23;24
184;19;23
185;22;24
186;23;25
187;23;25
188;20;23
189;23;25
190;23;25
191;21;25
192;14;21
193;17;19
194;18;20
195;19;20
196;17;20
197;20;22
198;19;22
199;20;21
200;17;21
201;20;22
202;21;23
203;21;23
204;18;21
205;21;23
206;21;23
207;20;23
208;16;21
209;19;21
210;20;22
211;21;22
212;19;22
213;22;24
214;21;24
215;22;23
216;18;22
217;21;23
218;22;24
219;22;24
220;19;22
221;22;24
222;22;24
223;21;24
224;15;21
225;18;20
226;19;21
227;20;21
228;18;21
229;21;23
230;20;23
231;21;22
232;18;22
233;21;23
234;22;24
235;22;24
236;19;22
237;22;24
238;22;24
239;21;24
240;16;21
241;19;21
242;20;22
243;21;22
244;19;22
245;22;24
246;21;24
247;22;23
248;18;22
249;21;23
250;22;24
251;22;24
252;19;22
253;22;24
254;22;24
255;20;24
256;11;20
257;14;16
258;15;17
259;16;17
260;14;17
261;17;19
262;16;19
263;17;18
264;14;18
265;17;19
266;18;20
267;18;20
268;15;18
269;18;20
270;18;20
271;17;20
272;13;18
273;16;18
274;17;19
275;18;19
276;16;19
277;19;21
278;18;21
279;19;20
280;15;19
281;18;20
282;19;21
283;19;21
284;16;19
285;19;21
286;19;21
287;18;21
288;13;19
289;16;18
290;17;19
291;18;19
292;16;19
293;19;21
294;18;21
295;19;20
296;16;20
297;19;21
298;20;22
299;20;22
300;17;20
301;20;22
302;20;22
303;19;22
304;14;19
305;17;19
