round;minSpace;maxSpace
16;32;42
32;31;44
48;33;45
64;30;45
80;34;45
96;32;46
112;34;46
128;29;46
144;33;44
160;32;45
176;34;46
192;29;46
208;33;44
224;31;45
240;33;45
256;27;45
272;31;42
288;30;43
304;32;44
320;28;44
336;32;43
352;30;44
368;32;44
384;26;44
400;30;41
416;29;42
432;31;43
448;26;43
464;30;41
480;28;42
496;30;42
512;22;42
528;26;37
544;25;38
560;27;39
576;23;39
592;27;38
608;25;39
624;27;39
640;22;39
656;26;37
672;25;38
688;27;39
704;22;39
720;26;37
736;24;38
752;26;38
768;19;38
784;23;34
800;22;35
816;24;36
832;20;36
848;24;35
864;22;36
880;24;36
896;18;36
912;22;33
928;21;34
944;23;35
960;18;35
976;22;33
992;20;34
1008;22;34
