round;minSpace;maxSpace
8;43;49
16;42;51
24;44;52
32;41;52
40;44;51
48;41;52
56;43;51
64;39;51
72;42;49
80;40;50
88;42;50
96;38;50
104;41;48
112;38;49
120;40;48
128;35;48
136;38;45
144;36;46
152;38;46
160;35;46
168;38;45
176;35;46
184;37;45
192;32;45
200;35;42
208;33;43
216;35;43
224;31;43
232;34;41
240;31;42
248;33;41
256;26;41
264;29;36
272;27;37
280;29;37
288;26;37
296;29;36
304;26;37
312;28;36
320;24;36
328;27;34
336;25;35
344;27;35
352;23;35
360;26;33
368;23;34
376;25;33
384;19;33
392;22;29
400;20;30
408;22;30
416;19;30
424;22;29
432;19;30
440;21;29
448;16;29
456;19;26
464;17;27
472;19;27
480;15;27
488;18;25
496;15;26
504;17;25
