round;minSpace;maxSpace
16;259;267
32;255;265
48;252;261
64;247;258
80;245;253
96;240;251
112;237;246
128;231;243
144;229;237
160;225;235
176;222;231
192;216;228
208;214;222
224;209;220
240;206;215
256;199;212
272;197;205
288;193;203
304;190;199
320;185;196
336;183;191
352;178;189
368;175;184
384;168;181
400;166;174
416;162;172
432;159;168
448;153;165
464;151;159
480;146;157
496;143;152
512;134;149
528;132;140
544;128;138
560;125;134
576;120;131
592;118;126
608;113;124
624;110;119
640;104;116
656;102;110
672;98;108
688;95;104
704;89;101
720;87;95
736;82;93
752;79;88
768;71;85
784;69;77
800;65;75
816;62;71
832;57;68
848;55;63
864;50;61
880;47;56
896;40;53
912;38;46
928;34;44
944;31;40
960;25;37
976;23;31
992;18;29
1008;15;24
