round;minSpace;maxSpace
16;26;35
32;25;37
48;27;40
64;24;38
80;29;40
96;26;42
112;28;41
128;23;39
144;29;40
160;28;42
176;30;43
192;25;43
208;30;41
224;27;43
240;29;42
256;22;40
272;29;40
288;28;42
304;30;43
320;26;43
336;31;42
352;29;44
368;31;44
384;24;44
400;30;41
416;29;43
432;31;44
448;26;44
464;31;42
480;29;44
496;31;44
512;20;44
528;27;38
544;26;40
560;28;41
576;24;41
592;29;40
608;27;42
624;29;42
640;23;42
656;29;40
672;28;42
688;30;43
704;25;43
720;30;41
736;28;43
752;30;43
768;20;43
784;27;38
800;26;40
816;28;41
832;24;41
848;29;40
864;27;42
880;29;42
896;22;42
912;28;39
928;27;41
944;29;42
960;24;42
976;29;40
992;27;42
1008;29;42
