round;minSpace;maxSpace
16;74;83
32;73;84
48;73;84
64;71;83
80;72;82
96;70;82
112;70;81
128;67;80
144;68;78
160;67;78
176;67;78
192;64;77
208;65;75
224;63;75
240;63;74
256;59;73
272;60;70
288;59;70
304;59;70
320;57;69
336;58;68
352;56;68
368;56;67
384;52;66
400;53;63
416;52;63
432;52;63
448;49;62
464;50;60
480;48;60
496;48;59
512;42;58
528;43;53
544;42;53
560;42;53
576;40;52
592;41;51
608;39;51
624;39;50
640;36;49
656;37;47
672;36;47
688;36;47
704;33;46
720;34;44
736;32;44
752;32;43
768;27;42
784;28;38
800;27;38
816;27;38
832;25;37
848;26;36
864;24;36
880;24;35
896;20;34
912;21;31
928;20;31
944;20;31
960;17;30
976;18;28
992;16;28
1008;16;27
