round;minSpace;maxSpace
512;145;168
1024;143;168
1536;142;166
2048;139;165
2560;139;162
3072;136;162
3584;135;159
4096;131;158
4608;131;154
5120;129;154
5632;128;152
6144;124;151
6656;124;147
7168;121;147
7680;120;144
8192;115;143
8704;115;138
9216;113;138
9728;112;136
10240;109;135
10752;109;132
11264;106;132
11776;105;129
12288;100;128
12800;100;123
13312;98;123
13824;97;121
14336;93;120
14848;93;116
15360;90;116
15872;89;113
16384;82;112
16896;82;105
17408;80;105
17920;79;103
18432;76;102
18944;76;99
19456;73;99
19968;72;96
20480;68;95
20992;68;91
21504;66;91
22016;65;89
22528;61;88
23040;61;84
23552;58;84
24064;57;81
24576;51;80
25088;51;74
25600;49;74
26112;48;72
26624;45;71
27136;45;68
27648;42;68
28160;41;65
28672;36;64
29184;36;59
29696;34;59
30208;33;57
30720;29;56
31232;29;52
31744;26;52
32256;25;49
