round;minSpace;maxSpace
4;255;259
8;251;256
12;248;253
16;243;249
20;241;245
24;236;242
28;233;238
32;227;234
36;225;229
40;221;226
44;218;223
48;212;219
52;210;214
56;205;211
60;202;207
64;195;203
68;193;197
72;189;194
76;186;191
80;181;187
84;179;183
88;174;180
92;171;176
96;164;172
100;162;166
104;158;163
108;155;160
112;149;156
116;147;151
120;142;148
124;139;144
128;130;140
132;128;132
136;124;129
140;121;126
144;116;122
148;114;118
152;109;115
156;106;111
160;100;107
164;98;102
168;94;99
172;91;96
176;85;92
180;83;87
184;78;84
188;75;80
192;67;76
196;65;69
200;61;66
204;58;63
208;53;59
212;51;55
216;46;52
220;43;48
224;36;44
228;34;38
232;30;35
236;27;32
240;21;28
244;19;23
248;14;20
252;11;16
