round;minSpace;maxSpace
1024;44;73
2048;43;75
3072;45;76
4096;42;76
5120;46;76
6144;44;77
7168;46;77
8192;41;77
9216;45;75
10240;44;76
11264;46;77
12288;41;77
13312;45;75
14336;43;76
15360;45;76
16384;39;76
17408;43;73
18432;42;74
19456;44;75
20480;40;75
21504;44;74
22528;42;75
23552;44;75
24576;38;75
25600;42;72
26624;41;73
27648;43;74
28672;38;74
29696;42;72
30720;40;73
31744;42;73
32768;34;73
33792;38;68
34816;37;69
35840;39;70
36864;35;70
37888;39;69
38912;37;70
39936;39;70
40960;34;70
41984;38;68
43008;37;69
44032;39;70
45056;34;70
46080;38;68
47104;36;69
48128;38;69
49152;31;69
50176;35;65
51200;34;66
52224;36;67
53248;32;67
54272;36;66
55296;34;67
56320;36;67
57344;30;67
58368;34;64
59392;33;65
60416;35;66
61440;30;66
62464;34;64
63488;32;65
64512;34;65
