round;minSpace;maxSpace
1024;86;114
2048;85;115
3072;85;115
4096;83;114
5120;84;113
6144;82;113
7168;82;112
8192;79;111
9216;80;109
10240;79;109
11264;79;109
12288;76;108
13312;77;106
14336;75;106
15360;75;105
16384;71;104
17408;72;101
18432;71;101
19456;71;101
20480;69;100
21504;70;99
22528;68;99
23552;68;98
24576;64;97
25600;65;94
26624;64;94
27648;64;94
28672;61;93
29696;62;91
30720;60;91
31744;60;90
32768;54;89
33792;55;84
34816;54;84
35840;54;84
36864;52;83
37888;53;82
38912;51;82
39936;51;81
40960;48;80
41984;49;78
43008;48;78
44032;48;78
45056;45;77
46080;46;75
47104;44;75
48128;44;74
49152;39;73
50176;40;69
51200;39;69
52224;39;69
53248;37;68
54272;38;67
55296;36;67
56320;36;66
57344;32;65
58368;33;62
59392;32;62
60416;32;62
61440;29;61
62464;30;59
63488;28;59
64512;28;58
