timePerAuthStepAvg;timePerAuthStepSum
4676162;74818603
5673024;90768391
7521590;120345454
5491112;87857793
7470500;119528005
7731534;123704548
7404656;118474500
7435349;118965590
7387081;118193296
7401352;118421646
7392437;118278992
8221145;131538325
7416459;118663344
7556357;120901712
7436119;118977907
7491346;119861549
7383873;118141976
7342308;117476931
7505618;120089902
7339806;117436907
7230216;115683468
8787857;140605725
7391571;118265136
7419056;118704906
8132370;130117922
7687755;123004093
7293815;116701049
7370467;117927486
7347151;117554422
7252185;116034974
7271910;116350564
7231531;115704507
7333905;117342491
7483585;119737367
7220691;115531060
7307702;116923243
7327042;117232675
7368222;117891561
7308472;116935557
7547088;120753413
7226047;115616755
7269056;116304896
7247664;115962624
7277426;116438828
7327362;117237807
7408729;118539673
7252089;116033437
7335509;117368144
7221397;115542353
7221621;115545946
7345675;117530814
7318478;117095663
7302635;116842161
7258600;116137607
7258215;116131448
7244168;115906690
7380794;118092718
7334322;117349159
7280762;116492192
7218253;115492062
7251576;116025229
7327875;117246013
7223738;115579809
6919952;110719232
