timePerAuthStep
9354940
11106890
11097737
11060454
11070344
11069672
11069394
11094521
11061044
11077048
11100599
11087362
11096795
11074878
11092155
11086584
11108607
11071429
11094943
11106290
11068116
11109796
11066151
11103577
11081075
11087165
11088104
11075430
11100836
11079019
11072217
11112048
11094306
11117525
11089595
11102421
11056087
11099255
11114314
11059748
11102349
11081988
11114842
11079533
11080759
11070637
11109422
11087186
11082271
11088465
11061377
11082341
11095026
11101170
11186469
11075889
11096007
11092113
11063047
11078374
11060897
11095990
11054060
11067017
