timePerAuthStepAvg;timePerAuthStepSum
2939848;11759393
3834015;15336062
3817466;15269866
3849025;15396102
3839275;15357101
3804638;15218552
3823239;15292959
3866344;15465379
3759993;15039975
3816825;15267301
3797197;15188789
3758967;15035869
3776928;15107712
3830424;15321696
3821957;15287828
3817595;15270381
3874426;15497706
3865190;15460760
3856337;15425351
3824651;15298604
3742290;14969160
3593604;14374418
3732924;14931699
3735875;14943502
3763970;15055882
3814901;15259606
3773207;15092830
3743572;14974290
3715093;14860372
3644406;14577625
3771924;15087699
3686228;14744912
3681224;14724899
3645817;14583269
3724586;14898345
3729204;14916817
3702649;14810596
3758582;15034329
3715862;14863450
3711500;14846002
3780648;15122592
3664675;14658702
3773463;15093855
3747806;14991225
3636837;14547349
3668780;14675122
3643123;14572493
3686613;14746453
3632475;14529903
3643251;14573006
3848897;15395589
3813489;15253959
3644919;14579676
3606946;14427785
3650692;14602769
3724457;14897830
3558324;14233299
4065447;16261791
3685201;14740807
3658261;14633046
3679171;14716687
3650563;14602253
3731128;14924515
3152293;12609173
