timePerInitStep
1925250;30804004
1864922;29838766
1747892;27966276
1744364;27909830
1818514;29096234
1811555;28984882
1749174;27986799
1802382;28838119
1806840;28909448
1779579;28473267
1795326;28725226
1851452;29623243
1787629;28602074
1766045;28256720
1770438;28327021
1782882;28526124
1757770;28124326
1768097;28289564
1793626;28698027
1811202;28979239
1778007;28448127
1824993;29199893
1781888;28510218
1782433;28518940
1818194;29091105
1812324;28997199
1738976;27823620
1765724;28251588
1814698;29035171
1805814;28893027
1760015;28160247
1827077;29233247
1817905;29086487
1766718;28267496
1788816;28621058
1791734;28667752
1822427;29158841
1811811;28988986
1816943;29071094
1795968;28735492
1815211;29043380
1833909;29342548
1751131;28018103
1778969;28463518
1788719;28619518
1801773;28828371
1782658;28522533
1764248;28227983
1806583;28905343
1799624;28793992
1831471;29303551
1772812;28364995
1764088;28225418
1792536;28680583
1795583;28729335
1744877;27918040
1759791;28156657
1815596;29049539
1784518;28552298
1821529;29144475
1818290;29092647
1779451;28471218
1777879;28446073
