timePerAuthStepAvg;timePerAuthStepSum
3838353;245654630
3748632;239912455
3761236;240719130
4060059;259843794
3687182;235979657
3795152;242889762
3765229;240974680
3773367;241495531
3739459;239325410
3701734;236911030
3758269;240529264
3794904;242873857
3707098;237254329
3702071;236932583
3694157;236426100
3689820;236148486
3726037;238466394
3694927;236475363
3722012;238208792
3708405;237337972
3706818;237236368
3779092;241861919
3720937;238140029
3735867;239095519
3739916;239354662
3681457;235613268
3691559;236259839
3766167;241034719
3699553;236771452
3692810;236339892
3698968;236733993
3728202;238604945
3687783;236018144
3690822;236212630
3675050;235203260
3702119;236935660
3710049;237443169
3698992;236735531
3714170;237706929
3719983;238078964
3701790;236914622
3718043;237954781
3692674;236331167
3702849;236982358
3745569;239716434
3736685;239147857
3720432;238107700
3718332;237973255
3756658;240426122
3713136;237640731
3782636;242088734
3717129;237896280
3768564;241188153
3714972;237758244
3717241;237903465
3753483;240222914
3730583;238757351
3732099;238854336
3741207;239437278
3702592;236965938
3809673;243819082
3741023;239425476
3733037;238914375
3696587;236581585
