timePerAuthStepAvg;timePerAuthStepSum
5706980;365246776
7435966;475901867
7435084;475845419
7465609;477798988
7386511;472736743
7487634;479208616
7420058;474883769
7372520;471841293
7287304;466387511
7296798;466995083
7334787;469426399
7270539;465314511
7327587;468965589
7366987;471487217
7347111;470215113
7320659;468522225
7352082;470533268
7332766;469297085
7433280;475729959
7343078;469956998
7353044;470594847
7341907;469882078
7403918;473850796
7375182;472011660
7383528;472545849
7417853;474742652
7319088;468421647
7354616;470695424
7309787;467826392
7286743;466351590
7370611;471719163
7431171;475594999
7308736;467759167
7370267;471697098
7363507;471264509
7338130;469640383
7342452;469916971
7381837;472437573
7329455;469085152
7323474;468702339
7313836;468085533
7373434;471899793
7288523;466465512
7365143;471369192
7318270;468369305
7390087;472965609
7399717;473581903
7317653;468329792
7366931;471483624
7353389;470616911
7297840;467061795
7414462;474525590
7327699;468972771
7365640;471401009
7371630;471784333
7293246;466767758
7349540;470370600
7374332;471957266
7366530;471457968
7316787;468274374
7412538;474402433
7367533;471522112
7450294;476818868
7337730;469614726
