timePerAuthStepAvg;timePerAuthStepSum
3882765;15531061
4240303;16961215
5828124;23312499
3947679;15790717
7507671;30030687
5924083;23696335
6015938;24063755
4440689;17762759
7820437;31281751
8047379;32189518
7986185;31944743
7386696;29546784
7191185;28764741
5565391;22261565
5498937;21995751
3612334;14449337
7149876;28599505
7335509;29342036
7371558;29486232
7415304;29661216
7414406;29657626
7580026;30320104
7493816;29975266
7551802;30207210
7520115;30080462
7375535;29502140
7264053;29056212
7275085;29100343
7255200;29020803
7256227;29024908
7287914;29151658
7406324;29625297
7382205;29528823
7184385;28737541
7603887;30415551
7391314;29565258
7290223;29160895
7330890;29323563
7536921;30147685
7216458;28865833
7305232;29220931
7427491;29709967
7327555;29310221
7409146;29636585
7371429;29485719
7545901;30183607
7349492;29397969
7419794;29679178
7375021;29500086
7168350;28673400
7425182;29700729
7440063;29760255
7488428;29953715
7423642;29694570
7508569;30034278
7511392;30045568
7442501;29770004
7550006;30200027
7587210;30348842
7444168;29776675
7266875;29067500
7519089;30076357
7408761;29635046
5910357;23641430
