timePerAuthStepAvg;timePerAuthStepSum
3468651;13874606
3867242;15468971
5777066;23108264
3799763;15199052
5577450;22309801
7234033;28936133
5697784;22791137
5535243;22140973
6033257;24133029
5752050;23008200
5687521;22750084
5807342;23229370
5846085;23384340
5877900;23511603
5603235;22412942
5381297;21525191
5396820;21587281
5556539;22226157
5432997;21731991
5463402;21853608
5707534;22830137
5775655;23102620
5732935;22931742
5478283;21913134
5470458;21881833
5347942;21391771
5413370;21653480
5470201;21880806
5488803;21955212
5530368;22121474
5365005;21460020
5514588;22058355
5453267;21813068
5426326;21705306
5417218;21668873
5485724;21942897
5518950;22075803
5564749;22258998
5453524;21814096
5577963;22311853
5613883;22455535
5497654;21990619
5517667;22070671
5442362;21769449
5554871;22219485
5607597;22430389
5601440;22405760
5439284;21757136
5446083;21784332
5602594;22410379
5461734;21846936
5490599;21962398
5560131;22240524
5697784;22791137
5639797;22559191
5473537;21894148
5483671;21934685
5452369;21809478
5731780;22927123
5849805;23399221
5574499;22297998
5416577;21666308
5421451;21685806
4730877;18923509
