timePerInitStep
1842432
1843196
1830111
1802551
1815152
1818326
1819730
1836938
1819334
1818314
1828458
1819827
1818195
1817254
1820298
1817246
1819345
1815228
1819439
1817112
1821932
1830224
1820492
1814905
1821069
1814453
1817946
1814914
1819452
1821689
1826073
1824790
1830566
1824066
1821708
1822205
1821997
1855688
1822328
1823043
1825698
1820376
1834532
1815878
1815242
1818838
1818730
1821775
1820983
1818319
1816144
1821082
1825231
1834786
1819972
1819520
1821842
1816769
1816693
1813195
1816653
1822220
1817914
