round;minSpace;maxSpace
16;46;51
32;47;55
48;47;56
64;47;56
80;47;56
96;48;57
112;48;57
128;47;57
144;47;56
160;49;57
176;49;58
192;48;58
208;48;57
224;49;58
240;49;58
256;47;58
272;47;52
288;48;56
304;48;57
320;48;57
336;48;57
352;49;58
368;49;58
384;47;58
400;47;56
416;49;57
432;49;58
448;48;58
464;48;57
480;49;58
496;49;58
512;46;58
528;46;51
544;47;55
560;47;56
576;47;56
592;47;56
608;48;57
624;48;57
640;47;57
656;47;56
672;49;57
688;49;58
704;48;58
720;48;57
736;49;58
752;49;58
768;46;58
784;46;51
800;47;55
816;47;56
832;47;56
848;47;56
864;48;57
880;48;57
896;46;57
912;46;55
928;48;56
944;48;57
960;47;57
976;47;56
992;48;57
1008;48;57
1024;44;57
1040;44;49
1056;45;53
1072;45;54
1088;45;54
1104;45;54
1120;46;55
1136;46;55
1152;45;55
1168;45;54
1184;47;55
1200;47;56
1216;46;56
1232;46;55
1248;47;56
1264;47;56
1280;45;56
1296;45;50
1312;46;54
1328;46;55
1344;46;55
1360;46;55
1376;47;56
1392;47;56
1408;45;56
1424;45;54
1440;47;55
1456;47;56
1472;46;56
1488;46;55
1504;47;56
1520;47;56
1536;43;56
1552;43;48
1568;44;52
1584;44;53
1600;44;53
1616;44;53
1632;45;54
1648;45;54
1664;44;54
1680;44;53
1696;46;54
1712;46;55
1728;45;55
1744;45;54
1760;46;55
1776;46;55
1792;43;55
1808;43;48
1824;44;52
1840;44;53
1856;44;53
1872;44;53
1888;45;54
1904;45;54
1920;43;54
1936;43;52
1952;45;53
1968;45;54
1984;44;54
2000;44;53
2016;45;54
2032;45;54
2048;39;54
2064;39;44
2080;40;48
2096;40;49
2112;40;49
2128;40;49
2144;41;50
2160;41;50
2176;40;50
2192;40;49
2208;42;50
2224;42;51
2240;41;51
2256;41;50
2272;42;51
2288;42;51
2304;40;51
2320;40;45
2336;41;49
2352;41;50
2368;41;50
2384;41;50
2400;42;51
2416;42;51
2432;40;51
2448;40;49
2464;42;50
2480;42;51
2496;41;51
2512;41;50
2528;42;51
2544;42;51
2560;39;51
2576;39;44
2592;40;48
2608;40;49
2624;40;49
2640;40;49
2656;41;50
2672;41;50
2688;40;50
2704;40;49
2720;42;50
2736;42;51
2752;41;51
2768;41;50
2784;42;51
2800;42;51
2816;39;51
2832;39;44
2848;40;48
2864;40;49
2880;40;49
2896;40;49
2912;41;50
2928;41;50
2944;39;50
2960;39;48
2976;41;49
2992;41;50
3008;40;50
3024;40;49
3040;41;50
3056;41;50
3072;36;50
3088;36;41
3104;37;45
3120;37;46
3136;37;46
3152;37;46
3168;38;47
3184;38;47
3200;37;47
3216;37;46
3232;39;47
3248;39;48
3264;38;48
3280;38;47
3296;39;48
3312;39;48
3328;37;48
3344;37;42
3360;38;46
3376;38;47
3392;38;47
3408;38;47
3424;39;48
3440;39;48
3456;37;48
3472;37;46
3488;39;47
3504;39;48
3520;38;48
3536;38;47
3552;39;48
3568;39;48
3584;35;48
3600;35;40
3616;36;44
3632;36;45
3648;36;45
3664;36;45
3680;37;46
3696;37;46
3712;36;46
3728;36;45
3744;38;46
3760;38;47
3776;37;47
3792;37;46
3808;38;47
3824;38;47
3840;35;47
3856;35;40
3872;35;40
3888;35;40
3904;33;39
3920;33;38
3936;32;38
3952;32;37
3968;28;36
3984;28;33
4000;28;33
4016;28;33
4032;25;32
4048;25;30
4064;24;30
4080;24;29
