round;hashValues;leafValues
8;1;11
16;5;16
24;8;20
32;9;20
40;8;20
48;9;20
56;8;20
64;9;20
72;8;20
80;9;20
88;8;20
96;9;20
104;8;20
112;9;20
120;8;20
