round;hashValues;leafValues
32;24;68
64;49;96
96;64;112
128;65;112
160;64;112
192;65;112
224;64;112
256;65;112
288;64;112
320;65;112
352;64;112
384;65;112
416;64;112
448;65;112
480;64;112
