round;hashValues;leafValues
512;1292;2053
1024;1538;2304
1536;1538;2304
2048;1538;2304
2560;1538;2304
3072;1538;2304
3584;1538;2304
4096;1538;2304
4608;1538;2304
5120;1538;2304
5632;1538;2304
6144;1538;2304
6656;1538;2304
7168;1538;2304
7680;1538;2304
