rounds;hashValues;leafValues
1;0;1
2;0;1
3;0;1
4;0;2
5;1;2
6;0;1
7;0;1
8;0;2
9;1;3
10;1;2
11;2;3
12;0;2
13;1;2
14;0;1
15;0;1
16;0;2
17;1;3
18;1;2
19;2;3
20;0;2
21;1;3
22;1;2
23;2;3
24;0;2
25;1;3
26;1;2
27;2;3
28;0;2
29;1;3
30;1;2
31;3;3
32;0;2
33;1;3
34;1;2
35;2;3
36;0;2
37;1;3
38;1;2
39;2;3
40;0;2
41;1;3
42;1;2
43;2;3
44;0;2
45;1;3
46;1;2
47;3;3
48;0;2
49;1;3
50;1;2
51;2;3
52;0;2
53;1;3
54;1;2
55;2;3
56;0;2
57;1;3
58;1;2
59;2;3
60;0;2
61;1;3
62;1;2
63;3;3
64;0;2
65;1;3
66;1;2
67;2;3
68;0;2
69;1;3
70;1;2
71;2;3
72;0;2
73;1;3
74;1;2
75;2;3
76;0;2
77;1;3
78;1;2
79;3;3
80;0;2
81;1;3
82;1;2
83;2;3
84;0;2
85;1;3
86;1;2
87;2;3
88;0;2
89;1;3
90;1;2
91;2;3
92;0;2
93;1;3
94;1;2
95;3;3
96;0;2
97;1;3
98;1;2
99;2;3
100;0;2
101;1;3
102;1;2
103;2;3
104;0;2
105;1;3
106;1;2
107;2;3
108;0;2
109;1;3
110;1;2
111;3;3
112;0;2
113;1;3
114;1;2
115;2;3
116;0;2
117;1;3
118;1;2
119;2;3
120;0;2
121;1;3
122;1;2
123;2;3
124;0;2
125;1;3
126;1;2
127;3;3
128;0;2
129;1;3
130;1;2
131;2;3
132;0;2
133;1;3
134;1;2
135;2;3
136;0;2
137;1;3
138;1;2
139;2;3
140;0;2
141;1;3
142;1;2
143;3;3
144;0;2
145;1;3
146;1;2
147;2;3
148;0;2
149;1;3
150;1;2
151;2;3
152;0;2
153;1;3
154;1;2
155;2;3
156;0;2
157;1;3
158;1;2
159;3;3
160;0;2
161;1;3
162;1;2
163;2;3
164;0;2
165;1;3
166;1;2
167;2;3
168;0;2
169;1;3
170;1;2
171;2;3
172;0;2
173;1;3
174;1;2
175;3;3
176;0;2
177;1;3
178;1;2
179;2;3
180;0;2
181;1;3
182;1;2
183;2;3
184;0;2
185;1;3
186;1;2
187;2;3
188;0;2
189;1;3
190;1;2
191;3;3
192;0;2
193;1;3
194;1;2
195;2;3
196;0;2
197;1;3
198;1;2
199;2;3
200;0;2
201;1;3
202;1;2
203;2;3
204;0;2
205;1;3
206;1;2
207;3;3
208;0;2
209;1;3
210;1;2
211;2;3
212;0;2
213;1;3
214;1;2
215;2;3
216;0;2
217;1;3
218;1;2
219;2;3
220;0;2
221;1;3
222;1;2
223;3;3
224;0;2
225;1;3
226;1;2
227;2;3
228;0;2
229;1;3
230;1;2
231;2;3
232;0;2
233;1;3
234;1;2
235;2;3
236;0;2
237;1;3
238;1;2
239;3;3
240;0;2
241;1;3
242;1;2
243;2;3
244;0;2
245;1;3
246;1;2
247;2;3
248;0;2
249;1;3
250;1;2
251;2;3
252;0;2
253;1;3
254;1;2
255;3;3
