round;hashValues;leafValues
4;0;5
8;1;6
12;4;10
16;1;6
20;4;10
24;4;10
28;4;10
32;5;10
36;4;10
40;4;10
44;4;10
48;5;10
52;4;10
56;4;10
60;4;10
