round;hashValues;leafValues
256;460;836
512;516;896
768;516;896
1024;516;896
1280;516;896
1536;516;896
1792;516;896
2048;516;896
2304;516;896
2560;516;896
2816;516;896
3072;516;896
3328;516;896
3584;516;896
3840;516;896
