round;hashValues;leafValues
16;6;27
32;17;40
48;17;40
64;17;40
80;17;40
96;17;40
112;17;40
128;17;40
144;17;40
160;17;40
176;17;40
192;17;40
208;17;40
224;17;40
240;17;40
