round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
8;71;11;11;11;2;2
16;85;13;13;16;3;3
24;96;13;13;20;3;3
32;97;14;14;20;3;3
40;96;13;14;20;3;3
48;97;14;14;20;3;3
56;96;13;14;20;3;3
64;97;14;14;20;3;3
72;96;13;14;20;3;3
80;97;14;14;20;3;3
88;96;13;14;20;3;3
96;97;14;14;20;3;3
104;96;13;14;20;3;3
112;97;14;14;20;3;3
120;96;13;14;20;3;3
128;97;14;14;20;3;3
136;96;13;14;20;3;3
144;97;14;14;20;3;3
152;96;13;14;20;3;3
160;97;14;14;20;3;3
168;96;13;14;20;3;3
176;97;14;14;20;3;3
184;96;13;14;20;3;3
192;97;14;14;20;3;3
200;96;13;14;20;3;3
208;97;14;14;20;3;3
216;96;13;14;20;3;3
224;97;14;14;20;3;3
232;96;13;14;20;3;3
240;97;14;14;20;3;3
248;96;13;14;20;3;3
256;97;14;14;20;3;3
264;96;13;14;20;3;3
272;97;14;14;20;3;3
280;96;13;14;20;3;3
288;97;14;14;20;3;3
296;96;13;14;20;3;3
304;97;14;14;20;3;3
312;96;13;14;20;3;3
320;97;14;14;20;3;3
328;96;13;14;20;3;3
336;97;14;14;20;3;3
344;96;13;14;20;3;3
352;97;14;14;20;3;3
360;96;13;14;20;3;3
368;97;14;14;20;3;3
376;96;13;14;20;3;3
384;97;14;14;20;3;3
392;96;13;14;20;3;3
400;97;14;14;20;3;3
408;96;13;14;20;3;3
416;97;14;14;20;3;3
424;96;13;14;20;3;3
432;97;14;14;20;3;3
440;96;13;14;20;3;3
448;97;14;14;20;3;3
456;96;13;14;20;3;3
464;97;14;14;20;3;3
472;96;13;14;20;3;3
480;97;14;14;20;3;3
488;96;13;14;20;3;3
496;97;14;14;20;3;3
504;96;13;14;20;3;3
