round;hashValues;leafValues
1;0;1
2;0;1
3;0;1
4;0;1
5;0;2
6;0;1
7;1;2
8;0;1
9;0;2
10;0;1
11;1;2
12;0;1
13;0;2
14;0;1
15;1;2
