round;hashValues;leafValues
2048;5906;8965
4096;6152;9216
6144;6152;9216
8192;6152;9216
10240;6152;9216
12288;6152;9216
14336;6152;9216
16384;6152;9216
18432;6152;9216
20480;6152;9216
22528;6152;9216
24576;6152;9216
26624;6152;9216
28672;6152;9216
30720;6152;9216
