round;hashValues;leafValues
2;0;2
4;0;3
6;1;3
8;0;3
10;2;5
12;2;5
14;1;3
16;0;3
18;2;5
20;2;5
22;2;5
24;2;5
26;2;5
28;2;5
30;2;5
