round;hashValues;leafValues
128;202;388
256;258;448
384;258;448
512;258;448
640;258;448
768;258;448
896;258;448
1024;258;448
1152;258;448
1280;258;448
1408;258;448
1536;258;448
1664;258;448
1792;258;448
1920;258;448
