round;hashValues;leafValues
1024;2830;4357
2048;3076;4608
3072;3076;4608
4096;3076;4608
5120;3076;4608
6144;3076;4608
7168;3076;4608
8192;3076;4608
9216;3076;4608
10240;3076;4608
11264;3076;4608
12288;3076;4608
13312;3076;4608
14336;3076;4608
15360;3076;4608
