round;minSpace;maxSpace
16;33;63
32;42;71
48;40;69
64;43;70
80;38;67
96;43;70
112;45;68
128;42;74
144;36;65
160;43;70
176;43;68
192;42;72
208;41;66
224;46;72
240;44;70
256;41;73
272;34;63
288;43;70
304;41;68
320;42;70
336;39;66
352;44;70
368;44;68
384;41;73
400;37;64
416;44;70
432;42;68
448;43;71
464;40;66
480;46;71
496;45;69
512;40;72
528;31;57
544;38;63
560;36;61
576;39;62
592;34;59
608;39;62
624;39;60
640;38;64
656;32;57
672;39;62
688;37;60
704;38;62
720;35;58
736;40;62
752;38;60
768;37;63
784;29;51
800;34;55
816;32;53
832;35;54
848;30;51
864;35;54
880;33;52
896;34;54
912;27;45
928;30;47
944;28;45
960;31;46
976;25;39
992;26;39
1008;23;33
1024;14;27
