round;minSpace;maxSpace
512;78;101
1024;79;100
1536;79;100
2048;80;100
2560;79;100
3072;80;100
3584;80;100
4096;79;99
4608;77;100
5120;78;99
5632;78;99
6144;79;99
6656;78;99
7168;79;99
7680;79;99
8192;78;98
8704;75;98
9216;76;97
9728;76;97
10240;77;97
10752;76;97
11264;77;97
11776;77;97
12288;76;96
12800;74;97
13312;75;96
13824;75;96
14336;76;96
14848;75;96
15360;76;96
15872;76;96
16384;75;95
16896;71;94
17408;72;93
17920;72;93
18432;73;93
18944;72;93
19456;73;93
19968;73;93
20480;72;92
20992;70;93
21504;71;92
22016;71;92
22528;72;92
23040;71;92
23552;72;92
24064;72;92
24576;71;91
25088;68;91
25600;69;90
26112;69;90
26624;70;90
27136;69;90
27648;70;90
28160;70;90
28672;69;89
29184;66;79
29696;65;78
30208;63;76
30720;62;75
31232;59;72
31744;58;71
32256;56;69
32768;21;61
