round;minSpace;maxSpace
8;48;55
16;49;55
24;49;55
32;50;55
40;49;55
48;50;55
56;50;55
64;49;54
72;47;54
80;48;54
88;48;54
96;49;54
104;48;54
112;49;54
120;49;54
128;48;53
136;45;52
144;46;52
152;46;52
160;47;52
168;46;52
176;47;52
184;47;52
192;46;51
200;44;51
208;45;51
216;45;51
224;46;51
232;45;51
240;46;51
248;46;51
256;45;50
264;41;48
272;42;48
280;42;48
288;43;48
296;42;48
304;43;48
312;43;48
320;42;47
328;40;47
336;41;47
344;41;47
352;42;47
360;41;47
368;42;47
376;42;47
384;41;46
392;38;45
400;39;45
408;39;45
416;40;45
424;39;45
432;40;45
440;40;45
448;39;44
456;36;39
464;35;38
472;33;36
480;32;35
488;29;32
496;28;31
504;26;29
512;15;23
