round;minSpace;maxSpace
64;257;263
128;256;262
192;254;260
256;253;259
320;250;256
384;249;255
448;247;253
512;246;252
576;242;248
640;241;247
704;239;245
768;238;244
832;235;241
896;234;240
960;232;238
1024;231;237
1088;226;232
1152;225;231
1216;223;229
1280;222;228
1344;219;225
1408;218;224
1472;216;222
1536;215;221
1600;211;217
1664;210;216
1728;208;214
1792;207;213
1856;204;210
1920;203;209
1984;201;207
2048;200;206
2112;194;200
2176;193;199
2240;191;197
2304;190;196
2368;187;193
2432;186;192
2496;184;190
2560;183;189
2624;179;185
2688;178;184
2752;176;182
2816;175;181
2880;172;178
2944;171;177
3008;169;175
3072;168;174
3136;163;169
3200;162;168
3264;160;166
3328;159;165
3392;156;162
3456;155;161
3520;153;159
3584;152;158
3648;148;154
3712;147;153
3776;145;151
3840;144;150
3904;141;147
3968;140;146
4032;138;144
4096;21;135
