round;minSpace;maxSpace
1024;129037;131073
2048;126990;129026
3072;124942;126978
4096;122895;124931
5120;120846;122882
6144;118799;120835
7168;116751;118787
8192;114704;116740
9216;112654;114690
10240;110607;112643
11264;108559;110595
12288;106512;108548
13312;104463;106499
14336;102416;104452
15360;100368;102404
16384;98321;100357
17408;96270;98306
18432;94223;96259
19456;92175;94211
20480;90128;92164
21504;88079;90115
22528;86032;88068
23552;83984;86020
24576;81937;83973
25600;79887;81923
26624;77840;79876
27648;75792;77828
28672;73745;75781
29696;71696;73732
30720;69649;71685
31744;67601;69637
32768;65554;67590
33792;63502;65538
34816;61455;63491
35840;59407;61443
36864;57360;59396
37888;55311;57347
38912;53264;55300
39936;51216;53252
40960;49169;51205
41984;47119;49155
43008;45072;47108
44032;43024;45060
45056;40977;43013
46080;38928;40964
47104;36881;38917
48128;34833;36869
49152;32786;34822
50176;30735;32771
51200;28688;30724
52224;26640;28676
53248;24593;26629
54272;22544;24580
55296;20497;22533
56320;18449;20485
57344;16402;18438
58368;14352;16388
59392;12305;14341
60416;10257;12293
61440;8210;10246
62464;6161;8197
63488;4114;6150
64512;2066;4102
65536;19;2055
