round;minSpace;maxSpace
64;39;89
128;48;96
192;46;94
256;51;95
320;44;92
384;51;95
448;51;93
512;50;97
576;42;90
640;51;95
704;49;93
768;50;95
832;47;91
896;52;95
960;50;93
1024;49;96
1088;40;88
1152;49;95
1216;47;93
1280;50;94
1344;45;91
1408;52;94
1472;50;92
1536;49;96
1600;43;89
1664;50;94
1728;48;92
1792;51;94
1856;46;90
1920;53;94
1984;51;92
2048;48;95
2112;37;81
2176;44;86
2240;42;84
2304;47;85
2368;40;82
2432;47;85
2496;45;83
2560;46;85
2624;38;80
2688;45;85
2752;43;83
2816;46;84
2880;41;81
2944;46;84
3008;44;82
3072;45;84
3136;35;73
3200;40;76
3264;38;74
3328;43;75
3392;36;72
3456;41;75
3520;39;73
3584;42;74
3648;33;65
3712;36;66
3776;34;64
3840;37;65
3904;31;57
3968;32;56
4032;29;49
4096;16;41
