round;minSpace;maxSpace
64;8073;8193
128;7946;8066
192;7818;7938
256;7691;7811
320;7562;7682
384;7435;7555
448;7307;7427
512;7180;7300
576;7050;7170
640;6923;7043
704;6795;6915
768;6668;6788
832;6539;6659
896;6412;6532
960;6284;6404
1024;6157;6277
1088;6026;6146
1152;5899;6019
1216;5771;5891
1280;5644;5764
1344;5515;5635
1408;5388;5508
1472;5260;5380
1536;5133;5253
1600;5003;5123
1664;4876;4996
1728;4748;4868
1792;4621;4741
1856;4492;4612
1920;4365;4485
1984;4237;4357
2048;4110;4230
2112;3978;4098
2176;3851;3971
2240;3723;3843
2304;3596;3716
2368;3467;3587
2432;3340;3460
2496;3212;3332
2560;3085;3205
2624;2955;3075
2688;2828;2948
2752;2700;2820
2816;2573;2693
2880;2444;2564
2944;2317;2437
3008;2189;2309
3072;2062;2182
3136;1931;2051
3200;1804;1924
3264;1676;1796
3328;1549;1669
3392;1420;1540
3456;1293;1413
3520;1165;1285
3584;1038;1158
3648;908;1028
3712;781;901
3776;653;773
3840;526;646
3904;397;517
3968;270;390
4032;142;262
4096;15;135
