round;minSpace;maxSpace
1;33;34
2;34;35
3;34;35
4;35;36
5;34;35
6;35;36
7;35;36
8;35;35
9;32;33
10;33;34
11;33;34
12;34;35
13;33;34
14;34;35
15;34;35
16;34;34
17;30;31
18;31;32
19;31;32
20;32;33
21;31;32
22;32;33
23;32;33
24;32;32
25;29;30
26;30;31
27;30;31
28;31;32
29;30;31
30;31;32
31;31;32
32;31;31
33;26;27
34;27;28
35;27;28
36;28;29
37;27;28
38;28;29
39;28;29
40;28;28
41;25;26
42;26;27
43;26;27
44;27;28
45;26;27
46;27;28
47;27;28
48;27;27
49;23;24
50;24;25
51;24;25
52;25;26
53;24;25
54;25;26
55;25;26
56;24;25
57;20;20
58;19;19
59;17;17
60;16;16
61;14;14
62;13;13
63;12;12
64;12;12
