round;minSpace;maxSpace
32;4040;4097
64;3977;4034
96;3913;3970
128;3850;3907
160;3785;3842
192;3722;3779
224;3658;3715
256;3595;3652
288;3529;3586
320;3466;3523
352;3402;3459
384;3339;3396
416;3274;3331
448;3211;3268
480;3147;3204
512;3084;3141
544;3017;3074
576;2954;3011
608;2890;2947
640;2827;2884
672;2762;2819
704;2699;2756
736;2635;2692
768;2572;2629
800;2506;2563
832;2443;2500
864;2379;2436
896;2316;2373
928;2251;2308
960;2188;2245
992;2124;2181
1024;2061;2118
1056;1993;2050
1088;1930;1987
1120;1866;1923
1152;1803;1860
1184;1738;1795
1216;1675;1732
1248;1611;1668
1280;1548;1605
1312;1482;1539
1344;1419;1476
1376;1355;1412
1408;1292;1349
1440;1227;1284
1472;1164;1221
1504;1100;1157
1536;1037;1094
1568;970;1027
1600;907;964
1632;843;900
1664;780;837
1696;715;772
1728;652;709
1760;588;645
1792;525;582
1824;459;516
1856;396;453
1888;332;389
1920;269;326
1952;204;261
1984;141;198
2016;77;134
2048;14;71
