round;hashValues;leafValues
4;1;5
8;4;9
12;4;9
16;5;9
20;1;5
24;4;9
28;4;9
32;5;9
36;1;5
40;4;9
44;4;9
48;5;9
52;1;5
56;1;5
60;1;5
