round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
1;18;18;18;1;1;1
2;18;18;18;1;1;1
3;21;21;21;3;3;3
4;18;18;21;1;1;3
5;25;25;25;5;5;5
6;18;18;25;1;1;5
7;21;21;25;3;3;5
8;18;18;25;1;1;5
9;33;33;33;9;9;9
10;18;18;33;1;1;9
11;21;21;33;3;3;9
12;18;18;33;1;1;9
13;25;25;33;5;5;9
14;18;18;33;1;1;9
15;21;21;33;3;3;9
16;18;18;33;1;1;9
17;18;18;33;1;1;9
18;43;43;43;15;15;15
19;27;27;43;5;5;15
20;18;18;43;1;1;15
21;25;25;43;5;5;15
22;18;18;43;1;1;15
23;21;21;43;3;3;15
24;18;18;43;1;1;15
25;33;33;43;9;9;15
26;18;18;43;1;1;15
27;21;21;43;3;3;15
28;18;18;43;1;1;15
29;25;25;43;5;5;15
30;18;18;43;1;1;15
31;21;21;43;3;3;15
32;18;18;43;1;1;15
33;18;18;43;1;1;15
34;18;18;43;1;1;15
35;39;39;43;13;13;15
36;46;46;46;15;15;15
37;42;42;46;13;13;15
38;18;18;46;1;1;15
39;21;21;46;3;3;15
40;18;18;46;1;1;15
41;33;33;46;9;9;15
42;18;18;46;1;1;15
43;21;21;46;3;3;15
44;18;18;46;1;1;15
45;25;25;46;5;5;15
46;18;18;46;1;1;15
47;21;21;46;3;3;15
48;18;18;46;1;1;15
49;18;18;46;1;1;15
50;43;43;46;15;15;15
51;27;27;46;5;5;15
52;18;18;46;1;1;15
53;25;25;46;5;5;15
54;18;18;46;1;1;15
55;21;21;46;3;3;15
56;18;18;46;1;1;15
57;33;33;46;9;9;15
58;18;18;46;1;1;15
59;21;21;46;3;3;15
60;18;18;46;1;1;15
61;25;25;46;5;5;15
62;18;18;46;1;1;15
63;21;21;46;3;3;15
64;18;18;46;1;1;15
65;18;18;46;1;1;15
66;18;18;46;1;1;15
67;21;21;46;3;3;15
68;18;18;46;1;1;15
69;25;25;46;5;5;15
70;43;43;46;15;15;15
71;45;45;46;15;15;15
72;47;47;47;15;15;15
73;33;33;47;9;9;15
74;44;44;47;15;15;15
75;44;44;47;13;13;15
76;18;18;47;1;1;15
77;25;25;47;5;5;15
78;18;18;47;1;1;15
79;21;21;47;3;3;15
80;18;18;47;1;1;15
81;18;18;47;1;1;15
82;43;43;47;15;15;15
83;27;27;47;5;5;15
84;18;18;47;1;1;15
85;25;25;47;5;5;15
86;18;18;47;1;1;15
87;21;21;47;3;3;15
88;18;18;47;1;1;15
89;33;33;47;9;9;15
90;18;18;47;1;1;15
91;21;21;47;3;3;15
92;18;18;47;1;1;15
93;25;25;47;5;5;15
94;18;18;47;1;1;15
95;21;21;47;3;3;15
96;18;18;47;1;1;15
97;18;18;47;1;1;15
98;18;18;47;1;1;15
99;39;39;47;13;13;15
100;46;46;47;15;15;15
101;42;42;47;13;13;15
102;18;18;47;1;1;15
103;21;21;47;3;3;15
104;18;18;47;1;1;15
105;33;33;47;9;9;15
106;18;18;47;1;1;15
107;21;21;47;3;3;15
108;18;18;47;1;1;15
109;25;25;47;5;5;15
110;18;18;47;1;1;15
111;21;21;47;3;3;15
112;18;18;47;1;1;15
113;18;18;47;1;1;15
114;43;43;47;15;15;15
115;27;27;47;5;5;15
116;18;18;47;1;1;15
117;25;25;47;5;5;15
118;18;18;47;1;1;15
119;21;21;47;3;3;15
120;18;18;47;1;1;15
121;33;33;47;9;9;15
122;18;18;47;1;1;15
123;21;21;47;3;3;15
124;18;18;47;1;1;15
125;25;25;47;5;5;15
126;18;18;47;1;1;15
127;21;21;47;3;3;15
128;18;18;47;1;1;15
129;18;18;47;1;1;15
130;18;18;47;1;1;15
131;21;21;47;3;3;15
132;18;18;47;1;1;15
133;25;25;47;5;5;15
134;18;18;47;1;1;15
135;21;21;47;3;3;15
136;18;18;47;1;1;15
137;33;33;47;9;9;15
138;18;18;47;1;1;15
139;24;24;47;5;5;15
140;46;46;47;15;15;15
141;40;40;47;13;13;15
142;45;45;47;15;15;15
143;45;45;47;15;15;15
144;48;48;48;15;15;15
145;18;18;48;1;1;15
146;43;43;48;15;15;15
147;45;45;48;15;15;15
148;46;46;48;15;15;15
149;42;42;48;13;13;15
150;43;43;48;15;15;15
151;45;45;48;15;15;15
152;34;34;48;7;7;15
153;33;33;48;9;9;15
154;18;18;48;1;1;15
155;21;21;48;3;3;15
156;18;18;48;1;1;15
157;25;25;48;5;5;15
158;18;18;48;1;1;15
159;21;21;48;3;3;15
160;18;18;48;1;1;15
161;18;18;48;1;1;15
162;18;18;48;1;1;15
163;39;39;48;13;13;15
164;46;46;48;15;15;15
165;42;42;48;13;13;15
166;18;18;48;1;1;15
167;21;21;48;3;3;15
168;18;18;48;1;1;15
169;33;33;48;9;9;15
170;18;18;48;1;1;15
171;21;21;48;3;3;15
172;18;18;48;1;1;15
173;25;25;48;5;5;15
174;18;18;48;1;1;15
175;21;21;48;3;3;15
176;18;18;48;1;1;15
177;18;18;48;1;1;15
178;43;43;48;15;15;15
179;27;27;48;5;5;15
180;18;18;48;1;1;15
181;25;25;48;5;5;15
182;18;18;48;1;1;15
183;21;21;48;3;3;15
184;18;18;48;1;1;15
185;33;33;48;9;9;15
186;18;18;48;1;1;15
187;21;21;48;3;3;15
188;18;18;48;1;1;15
189;25;25;48;5;5;15
190;18;18;48;1;1;15
191;21;21;48;3;3;15
192;18;18;48;1;1;15
193;18;18;48;1;1;15
194;18;18;48;1;1;15
195;21;21;48;3;3;15
196;18;18;48;1;1;15
197;25;25;48;5;5;15
198;43;43;48;15;15;15
199;45;45;48;15;15;15
200;47;47;48;15;15;15
201;33;33;48;9;9;15
202;44;44;48;15;15;15
203;44;44;48;13;13;15
204;18;18;48;1;1;15
205;25;25;48;5;5;15
206;18;18;48;1;1;15
207;21;21;48;3;3;15
208;18;18;48;1;1;15
209;18;18;48;1;1;15
210;43;43;48;15;15;15
211;27;27;48;5;5;15
212;18;18;48;1;1;15
213;25;25;48;5;5;15
214;18;18;48;1;1;15
215;21;21;48;3;3;15
216;18;18;48;1;1;15
217;33;33;48;9;9;15
218;18;18;48;1;1;15
219;21;21;48;3;3;15
220;18;18;48;1;1;15
221;25;25;48;5;5;15
222;18;18;48;1;1;15
223;21;21;48;3;3;15
224;18;18;48;1;1;15
225;18;18;48;1;1;15
226;18;18;48;1;1;15
227;39;39;48;13;13;15
228;46;46;48;15;15;15
229;42;42;48;13;13;15
230;18;18;48;1;1;15
231;21;21;48;3;3;15
232;18;18;48;1;1;15
233;33;33;48;9;9;15
234;18;18;48;1;1;15
235;21;21;48;3;3;15
236;18;18;48;1;1;15
237;25;25;48;5;5;15
238;18;18;48;1;1;15
239;21;21;48;3;3;15
240;18;18;48;1;1;15
241;18;18;48;1;1;15
242;43;43;48;15;15;15
243;27;27;48;5;5;15
244;18;18;48;1;1;15
245;25;25;48;5;5;15
246;18;18;48;1;1;15
247;21;21;48;3;3;15
248;18;18;48;1;1;15
249;33;33;48;9;9;15
250;18;18;48;1;1;15
251;21;21;48;3;3;15
252;18;18;48;1;1;15
253;25;25;48;5;5;15
254;18;18;48;1;1;15
255;21;21;48;3;3;15
256;18;18;48;1;1;15
257;18;18;48;1;1;15
258;18;18;48;1;1;15
259;21;21;48;3;3;15
260;18;18;48;1;1;15
261;25;25;48;5;5;15
262;18;18;48;1;1;15
263;21;21;48;3;3;15
264;18;18;48;1;1;15
265;33;33;48;9;9;15
266;18;18;48;1;1;15
267;21;21;48;3;3;15
268;18;18;48;1;1;15
269;25;25;48;5;5;15
270;18;18;48;1;1;15
271;21;21;48;3;3;15
272;18;18;48;1;1;15
273;18;18;48;1;1;15
274;43;43;48;15;15;15
275;27;27;48;5;5;15
276;18;18;48;1;1;15
277;25;25;48;5;5;15
278;18;18;48;1;1;15
279;21;21;48;3;3;15
280;33;33;48;9;9;15
281;33;33;48;9;9;15
282;44;44;48;15;15;15
283;46;46;48;15;15;15
284;46;46;48;15;15;15
285;40;40;48;13;13;15
286;46;46;48;15;15;15
287;45;45;48;15;15;15
288;47;47;48;15;15;15
289;18;18;48;1;1;15
290;18;18;48;1;1;15
291;39;39;48;13;13;15
292;46;46;48;15;15;15
293;42;42;48;13;13;15
294;43;43;48;15;15;15
295;45;45;48;15;15;15
296;49;49;49;15;15;15
297;33;33;49;9;9;15
298;44;44;49;15;15;15
299;46;46;49;15;15;15
300;46;46;49;15;15;15
301;40;40;49;13;13;15
302;46;46;49;15;15;15
303;45;45;49;15;15;15
304;47;47;49;15;15;15
305;18;18;49;1;1;15
306;43;43;49;15;15;15
307;45;45;49;15;15;15
308;46;46;49;15;15;15
309;45;45;49;13;13;15
310;18;18;49;1;1;15
311;21;21;49;3;3;15
312;18;18;49;1;1;15
313;33;33;49;9;9;15
314;18;18;49;1;1;15
315;21;21;49;3;3;15
316;18;18;49;1;1;15
317;25;25;49;5;5;15
318;18;18;49;1;1;15
319;21;21;49;3;3;15
320;18;18;49;1;1;15
321;18;18;49;1;1;15
322;18;18;49;1;1;15
323;21;21;49;3;3;15
324;18;18;49;1;1;15
325;25;25;49;5;5;15
326;43;43;49;15;15;15
327;45;45;49;15;15;15
328;47;47;49;15;15;15
329;33;33;49;9;9;15
330;44;44;49;15;15;15
331;44;44;49;13;13;15
332;18;18;49;1;1;15
333;25;25;49;5;5;15
334;18;18;49;1;1;15
335;21;21;49;3;3;15
336;18;18;49;1;1;15
337;18;18;49;1;1;15
338;43;43;49;15;15;15
339;27;27;49;5;5;15
340;18;18;49;1;1;15
341;25;25;49;5;5;15
342;18;18;49;1;1;15
343;21;21;49;3;3;15
344;18;18;49;1;1;15
345;33;33;49;9;9;15
346;18;18;49;1;1;15
347;21;21;49;3;3;15
348;18;18;49;1;1;15
349;25;25;49;5;5;15
350;18;18;49;1;1;15
351;21;21;49;3;3;15
352;18;18;49;1;1;15
353;18;18;49;1;1;15
354;18;18;49;1;1;15
355;39;39;49;13;13;15
356;46;46;49;15;15;15
357;42;42;49;13;13;15
358;18;18;49;1;1;15
359;21;21;49;3;3;15
360;18;18;49;1;1;15
361;33;33;49;9;9;15
362;18;18;49;1;1;15
363;21;21;49;3;3;15
364;18;18;49;1;1;15
365;25;25;49;5;5;15
366;18;18;49;1;1;15
367;21;21;49;3;3;15
368;18;18;49;1;1;15
369;18;18;49;1;1;15
370;43;43;49;15;15;15
371;27;27;49;5;5;15
372;18;18;49;1;1;15
373;25;25;49;5;5;15
374;18;18;49;1;1;15
375;21;21;49;3;3;15
376;18;18;49;1;1;15
377;33;33;49;9;9;15
378;18;18;49;1;1;15
379;21;21;49;3;3;15
380;18;18;49;1;1;15
381;25;25;49;5;5;15
382;18;18;49;1;1;15
383;21;21;49;3;3;15
384;18;18;49;1;1;15
385;18;18;49;1;1;15
386;18;18;49;1;1;15
387;21;21;49;3;3;15
388;18;18;49;1;1;15
389;25;25;49;5;5;15
390;18;18;49;1;1;15
391;21;21;49;3;3;15
392;18;18;49;1;1;15
393;33;33;49;9;9;15
394;18;18;49;1;1;15
395;24;24;49;5;5;15
396;46;46;49;15;15;15
397;40;40;49;13;13;15
398;45;45;49;15;15;15
399;45;45;49;15;15;15
400;48;48;49;15;15;15
401;18;18;49;1;1;15
402;43;43;49;15;15;15
403;45;45;49;15;15;15
404;46;46;49;15;15;15
405;42;42;49;13;13;15
406;43;43;49;15;15;15
407;45;45;49;15;15;15
408;34;34;49;7;7;15
409;33;33;49;9;9;15
410;18;18;49;1;1;15
411;21;21;49;3;3;15
412;18;18;49;1;1;15
413;25;25;49;5;5;15
414;18;18;49;1;1;15
415;21;21;49;3;3;15
416;18;18;49;1;1;15
417;18;18;49;1;1;15
418;18;18;49;1;1;15
419;39;39;49;13;13;15
420;46;46;49;15;15;15
421;42;42;49;13;13;15
422;18;18;49;1;1;15
423;21;21;49;3;3;15
424;18;18;49;1;1;15
425;33;33;49;9;9;15
426;18;18;49;1;1;15
427;21;21;49;3;3;15
428;18;18;49;1;1;15
429;25;25;49;5;5;15
430;18;18;49;1;1;15
431;21;21;49;3;3;15
432;18;18;49;1;1;15
433;18;18;49;1;1;15
434;43;43;49;15;15;15
435;27;27;49;5;5;15
436;18;18;49;1;1;15
437;25;25;49;5;5;15
438;18;18;49;1;1;15
439;21;21;49;3;3;15
440;18;18;49;1;1;15
441;33;33;49;9;9;15
442;18;18;49;1;1;15
443;21;21;49;3;3;15
444;18;18;49;1;1;15
445;25;25;49;5;5;15
446;18;18;49;1;1;15
447;21;21;49;3;3;15
448;18;18;49;1;1;15
449;18;18;49;1;1;15
450;18;18;49;1;1;15
451;21;21;49;3;3;15
452;18;18;49;1;1;15
453;25;25;49;5;5;15
454;43;43;49;15;15;15
455;45;45;49;15;15;15
456;47;47;49;15;15;15
457;33;33;49;9;9;15
458;44;44;49;15;15;15
459;44;44;49;13;13;15
460;18;18;49;1;1;15
461;25;25;49;5;5;15
462;18;18;49;1;1;15
463;21;21;49;3;3;15
464;18;18;49;1;1;15
465;18;18;49;1;1;15
466;43;43;49;15;15;15
467;27;27;49;5;5;15
468;18;18;49;1;1;15
469;25;25;49;5;5;15
470;18;18;49;1;1;15
471;21;21;49;3;3;15
472;18;18;49;1;1;15
473;33;33;49;9;9;15
474;18;18;49;1;1;15
475;21;21;49;3;3;15
476;18;18;49;1;1;15
477;25;25;49;5;5;15
478;18;18;49;1;1;15
479;21;21;49;3;3;15
480;18;18;49;1;1;15
481;18;18;49;1;1;15
482;18;18;49;1;1;15
483;39;39;49;13;13;15
484;46;46;49;15;15;15
485;42;42;49;13;13;15
486;18;18;49;1;1;15
487;21;21;49;3;3;15
488;18;18;49;1;1;15
489;33;33;49;9;9;15
490;18;18;49;1;1;15
491;21;21;49;3;3;15
492;18;18;49;1;1;15
493;25;25;49;5;5;15
494;18;18;49;1;1;15
495;21;21;49;3;3;15
496;18;18;49;1;1;15
497;18;18;49;1;1;15
498;43;43;49;15;15;15
499;27;27;49;5;5;15
500;18;18;49;1;1;15
501;25;25;49;5;5;15
502;18;18;49;1;1;15
503;21;21;49;3;3;15
504;18;18;49;1;1;15
505;33;33;49;9;9;15
506;18;18;49;1;1;15
507;21;21;49;3;3;15
508;18;18;49;1;1;15
509;25;25;49;5;5;15
510;18;18;49;1;1;15
511;21;21;49;3;3;15
512;18;18;49;1;1;15
513;18;18;49;1;1;15
514;18;18;49;1;1;15
515;21;21;49;3;3;15
