round;hashValues;leafValues
16;11;23
32;11;23
48;11;23
64;11;23
80;11;23
96;11;23
112;11;23
128;11;23
144;11;23
160;11;23
176;11;23
192;11;23
208;11;23
224;11;23
240;11;23
