round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
64;1217;34;34;224;11;11
128;1344;38;38;288;11;11
192;1472;39;39;352;11;11
256;1344;38;39;288;11;11
320;1472;39;39;352;11;11
384;1600;40;40;416;11;11
448;1472;39;40;352;11;11
512;1344;38;40;288;11;11
576;1217;34;40;224;11;11
640;1599;39;40;416;11;11
704;1728;40;40;480;11;11
768;1856;41;41;544;11;11
832;1472;39;41;352;11;11
896;1600;40;41;416;11;11
960;1472;39;41;352;11;11
1024;1344;38;41;288;11;11
1088;1217;34;41;224;11;11
1152;1344;38;41;288;11;11
1216;1472;39;41;352;11;11
1280;1344;38;41;288;11;11
1344;1472;39;41;352;11;11
1408;1855;40;41;544;11;11
1472;1728;40;41;480;11;11
1536;1856;41;41;544;11;11
1600;1217;34;41;224;11;11
1664;1599;39;41;416;11;11
1728;1728;40;41;480;11;11
1792;1856;41;41;544;11;11
1856;1472;39;41;352;11;11
1920;1855;40;41;544;11;11
1984;1728;40;41;480;11;11
2048;1857;42;42;544;11;11
2112;1153;35;42;224;10;11
2176;1280;36;42;288;10;11
2240;1408;37;42;352;10;11
2304;1280;36;42;288;10;11
2368;1280;36;42;288;10;11
2432;1664;38;42;480;10;11
2496;1408;37;42;352;10;11
2560;1280;36;42;288;10;11
2624;1153;35;42;224;10;11
2688;1280;36;42;288;10;11
2752;1535;37;42;416;10;11
2816;1664;38;42;480;10;11
2880;1280;36;42;288;10;11
2944;1664;38;42;480;10;11
3008;1535;37;42;416;10;11
3072;1665;39;42;480;10;11
3136;1089;29;42;224;9;11
3200;1216;30;42;288;9;11
3264;1344;32;42;352;9;11
3328;1216;30;42;288;9;11
3392;1089;29;42;224;9;11
3456;1471;32;42;416;9;11
3520;1344;32;42;352;9;11
3584;1472;33;42;416;9;11
3648;1025;27;42;224;8;11
3712;1152;29;42;288;8;11
3776;1152;29;42;288;8;11
3840;1280;30;42;352;8;11
3904;961;25;42;224;7;11
3968;1088;26;42;288;7;11
4032;897;23;42;224;6;11
