round;hashValues;leafValues
2;0;2
4;1;3
6;1;3
8;2;3
10;0;2
12;1;3
14;1;3
16;2;3
18;0;2
20;1;3
22;1;3
24;2;3
26;0;1
28;0;1
30;0;1
