round;hashValues;leafValues
2048;6034;7936
4096;6547;8448
6144;6034;7936
8192;6547;8448
10240;6034;7936
12288;6547;8448
14336;6034;7936
16384;6547;8448
18432;6034;7936
20480;6547;8448
22528;6034;7936
24576;6547;8448
26624;6034;7936
28672;6547;8448
30720;4500;6400
