round;hashValues;leafValues
32;38;68
64;47;76
96;38;68
128;47;76
160;38;68
192;47;76
224;38;68
256;47;76
288;38;68
320;47;76
352;38;68
384;47;76
416;38;68
448;47;76
480;16;44
