round;hashValues;leafValues
64;90;140
128;107;156
192;90;140
256;107;156
320;90;140
384;107;156
448;90;140
512;107;156
576;90;140
640;107;156
704;90;140
768;107;156
832;90;140
896;107;156
960;44;92
