round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
512;7062;26;26;1856;7;7
1024;8085;30;30;2368;7;7
1536;8085;30;30;2368;7;7
2048;8086;30;30;2368;7;7
2560;8085;31;31;2368;7;7
3072;9109;32;32;2880;7;7
3584;9108;31;32;2880;7;7
4096;9111;34;34;2880;7;7
4608;8085;31;34;2368;7;7
5120;9109;32;34;2880;7;7
5632;9108;31;34;2880;7;7
6144;9111;34;34;2880;7;7
6656;8085;31;34;2368;7;7
7168;9109;32;34;2880;7;7
7680;9108;31;34;2880;7;7
8192;9112;35;35;2880;7;7
8704;7062;26;35;1856;7;7
9216;8085;30;35;2368;7;7
9728;8085;30;35;2368;7;7
10240;8086;30;35;2368;7;7
10752;8085;31;35;2368;7;7
11264;9109;32;35;2880;7;7
11776;9108;31;35;2880;7;7
12288;9111;34;35;2880;7;7
12800;8085;31;35;2368;7;7
13312;9109;32;35;2880;7;7
13824;9108;31;35;2880;7;7
14336;9111;34;35;2880;7;7
14848;8085;31;35;2368;7;7
15360;9109;32;35;2880;7;7
15872;9108;31;35;2880;7;7
16384;9112;35;35;2880;7;7
16896;7062;26;35;1856;7;7
17408;8085;30;35;2368;7;7
17920;8085;30;35;2368;7;7
18432;8086;30;35;2368;7;7
18944;8085;31;35;2368;7;7
19456;9109;32;35;2880;7;7
19968;9108;31;35;2880;7;7
20480;9111;34;35;2880;7;7
20992;8085;31;35;2368;7;7
21504;9109;32;35;2880;7;7
22016;9108;31;35;2880;7;7
22528;9111;34;35;2880;7;7
23040;8085;31;35;2368;7;7
23552;9109;32;35;2880;7;7
24064;9108;31;35;2880;7;7
24576;9112;35;35;2880;7;7
25088;6550;23;35;1856;6;7
25600;7573;27;35;2368;6;7
26112;7573;27;35;2368;6;7
26624;7574;28;35;2368;6;7
27136;6550;23;35;1856;6;7
27648;7573;27;35;2368;6;7
28160;7573;27;35;2368;6;7
28672;7574;28;35;2368;6;7
29184;6550;23;35;1856;6;7
29696;7573;27;35;2368;6;7
30208;7573;27;35;2368;6;7
30720;7574;28;35;2368;6;7
31232;6038;23;35;1856;5;7
31744;6038;23;35;1856;5;7
32256;6038;23;35;1856;5;7
