round;hashValues;leafValues
256;530;768
512;595;832
768;530;768
1024;595;832
1280;530;768
1536;595;832
1792;530;768
2048;595;832
2304;530;768
2560;595;832
2816;530;768
3072;595;832
3328;530;768
3584;595;832
3840;340;576
