round;hashValues;maxHashValuesBlock;maxHashValues;leafValues;maxLeafValuesBlock;maxLeafValues
8;24;3;3;4;1;1
16;24;3;3;4;1;1
24;24;3;3;4;1;1
32;24;3;3;4;1;1
40;24;3;3;4;1;1
48;24;3;3;4;1;1
56;24;3;3;4;1;1
64;24;3;3;4;1;1
72;24;3;3;4;1;1
80;24;3;3;4;1;1
88;24;3;3;4;1;1
96;24;3;3;4;1;1
104;24;3;3;4;1;1
112;24;3;3;4;1;1
120;24;3;3;4;1;1
128;24;3;3;4;1;1
136;24;3;3;4;1;1
144;24;3;3;4;1;1
152;24;3;3;4;1;1
160;24;3;3;4;1;1
168;24;3;3;4;1;1
176;24;3;3;4;1;1
184;24;3;3;4;1;1
192;24;3;3;4;1;1
200;24;3;3;4;1;1
208;24;3;3;4;1;1
216;24;3;3;4;1;1
224;24;3;3;4;1;1
232;24;3;3;4;1;1
240;24;3;3;4;1;1
248;24;3;3;4;1;1
256;24;3;3;4;1;1
264;24;3;3;4;1;1
272;24;3;3;4;1;1
280;24;3;3;4;1;1
288;24;3;3;4;1;1
296;24;3;3;4;1;1
304;24;3;3;4;1;1
312;24;3;3;4;1;1
320;24;3;3;4;1;1
328;24;3;3;4;1;1
336;24;3;3;4;1;1
344;24;3;3;4;1;1
352;24;3;3;4;1;1
360;24;3;3;4;1;1
368;24;3;3;4;1;1
376;24;3;3;4;1;1
384;24;3;3;4;1;1
392;24;3;3;4;1;1
400;24;3;3;4;1;1
408;24;3;3;4;1;1
416;24;3;3;4;1;1
424;24;3;3;4;1;1
432;24;3;3;4;1;1
440;24;3;3;4;1;1
448;24;3;3;4;1;1
456;24;3;3;4;1;1
464;24;3;3;4;1;1
472;24;3;3;4;1;1
480;24;3;3;4;1;1
488;24;3;3;4;1;1
496;24;3;3;4;1;1
504;24;3;3;4;1;1
