round;hashValues;leafValues
1024;2469;3264
2048;2469;3264
3072;2469;3264
4096;2469;3264
5120;2469;3264
6144;2469;3264
7168;2469;3264
8192;2469;3264
9216;2469;3264
10240;2469;3264
11264;2469;3264
12288;2469;3264
13312;2469;3264
14336;2469;3264
15360;2469;3264
