rounds;hashValues;maxHashValues;leafValues;maxLeafValues
1;0;0;1;1
2;0;0;1;1
3;1;1;3;3
4;0;1;1;3
5;3;3;5;5
6;0;3;1;5
7;1;3;3;5
8;0;3;1;5
9;0;3;2;5
10;7;7;8;8
11;1;7;3;8
12;0;7;1;8
13;3;7;5;8
14;0;7;1;8
15;1;7;3;8
16;0;7;1;8
17;0;7;1;8
18;0;7;1;8
19;4;7;8;8
20;7;7;8;8
21;3;7;6;8
22;5;7;4;8
23;1;7;3;8
24;0;7;1;8
25;0;7;2;8
26;7;7;8;8
27;1;7;3;8
28;0;7;1;8
29;3;7;5;8
30;0;7;1;8
31;1;7;3;8
32;0;7;1;8
33;0;7;1;8
34;0;7;1;8
35;1;7;3;8
36;0;7;1;8
37;3;7;5;8
38;3;7;5;8
39;5;7;8;8
40;8;8;8;8
41;0;8;2;8
42;7;8;8;8
43;4;8;8;8
44;7;8;8;8
45;3;8;6;8
46;6;8;4;8
47;1;8;3;8
48;0;8;1;8
49;0;8;1;8
50;0;8;1;8
51;4;8;8;8
52;7;8;8;8
53;3;8;6;8
54;5;8;4;8
55;1;8;3;8
56;0;8;1;8
57;0;8;2;8
58;7;8;8;8
59;1;8;3;8
60;0;8;1;8
61;3;8;5;8
62;0;8;1;8
63;1;8;3;8
64;0;8;1;8
65;0;8;1;8
66;0;8;1;8
67;1;8;3;8
68;0;8;1;8
69;3;8;5;8
70;0;8;1;8
71;1;8;3;8
72;0;8;1;8
73;0;8;2;8
74;7;8;8;8
75;1;8;3;8
76;0;8;1;8
77;3;8;5;8
78;3;8;5;8
79;5;8;8;8
80;8;8;8;8
81;0;8;1;8
82;0;8;1;8
83;4;8;8;8
84;7;8;8;8
85;3;8;6;8
86;8;8;8;8
87;5;8;8;8
88;9;9;8;8
89;0;9;2;8
90;7;9;8;8
91;4;9;8;8
92;7;9;8;8
93;3;9;6;8
94;8;9;8;8
95;5;9;8;8
96;10;10;8;8
97;0;10;1;8
98;0;10;1;8
99;1;10;3;8
100;0;10;1;8
101;3;10;5;8
102;3;10;5;8
103;5;10;8;8
104;8;10;8;8
105;0;10;2;8
106;7;10;8;8
107;4;10;8;8
108;7;10;8;8
109;3;10;6;8
110;6;10;4;8
111;1;10;3;8
112;0;10;1;8
113;0;10;1;8
114;0;10;1;8
115;4;10;8;8
116;7;10;8;8
117;3;10;6;8
118;5;10;4;8
119;1;10;3;8
120;0;10;1;8
121;0;10;2;8
122;7;10;8;8
123;1;10;3;8
124;0;10;1;8
125;3;10;5;8
126;0;10;1;8
127;1;10;3;8
128;0;10;1;8
129;0;10;1;8
130;0;10;1;8
131;1;10;3;8
132;0;10;1;8
133;3;10;5;8
134;0;10;1;8
135;1;10;3;8
136;0;10;1;8
137;0;10;2;8
138;7;10;8;8
139;1;10;3;8
140;0;10;1;8
141;3;10;5;8
142;0;10;1;8
143;1;10;3;8
144;0;10;1;8
145;0;10;1;8
146;0;10;1;8
147;4;10;8;8
148;7;10;8;8
149;3;10;6;8
150;5;10;4;8
151;1;10;3;8
152;0;10;1;8
153;0;10;2;8
154;7;10;8;8
155;1;10;3;8
156;0;10;1;8
157;3;10;5;8
158;0;10;1;8
159;1;10;3;8
160;0;10;1;8
161;0;10;1;8
162;0;10;1;8
163;1;10;3;8
164;0;10;1;8
165;3;10;5;8
166;3;10;5;8
167;5;10;8;8
168;8;10;8;8
169;0;10;2;8
170;7;10;8;8
171;4;10;8;8
172;7;10;8;8
173;3;10;6;8
174;9;10;8;8
175;5;10;8;8
176;8;10;8;8
177;0;10;1;8
178;0;10;1;8
179;4;10;8;8
180;7;10;8;8
181;3;10;6;8
182;8;10;8;8
183;5;10;8;8
184;9;10;8;8
185;0;10;2;8
186;7;10;8;8
187;4;10;8;8
188;7;10;8;8
189;3;10;6;8
190;8;10;8;8
191;5;10;8;8
192;10;10;8;8
193;0;10;1;8
194;0;10;1;8
195;1;10;3;8
196;0;10;1;8
197;3;10;5;8
198;0;10;1;8
199;1;10;3;8
200;0;10;1;8
201;0;10;2;8
202;7;10;8;8
203;1;10;3;8
204;0;10;1;8
205;3;10;5;8
206;3;10;5;8
207;5;10;8;8
208;8;10;8;8
209;0;10;1;8
210;0;10;1;8
211;4;10;8;8
212;7;10;8;8
213;3;10;6;8
214;8;10;8;8
215;5;10;8;8
216;9;10;8;8
217;0;10;2;8
218;7;10;8;8
219;4;10;8;8
220;7;10;8;8
221;3;10;6;8
222;8;10;8;8
223;5;10;8;8
224;10;10;8;8
225;0;10;1;8
226;0;10;1;8
227;1;10;3;8
228;0;10;1;8
229;3;10;5;8
230;3;10;5;8
231;5;10;8;8
232;8;10;8;8
233;0;10;2;8
234;7;10;8;8
235;4;10;8;8
236;7;10;8;8
237;3;10;6;8
238;9;10;8;8
239;5;10;8;8
240;8;10;8;8
241;0;10;1;8
242;0;10;1;8
243;4;10;8;8
244;7;10;8;8
245;3;10;6;8
246;8;10;8;8
247;5;10;8;8
248;9;10;8;8
249;0;10;2;8
250;7;10;8;8
251;4;10;8;8
252;7;10;8;8
253;3;10;6;8
254;8;10;8;8
255;5;10;8;8
256;11;11;8;8
257;0;11;1;8
258;0;11;1;8
