round;hashValues;leafValues
8;4;11
16;11;19
24;11;19
32;12;19
40;4;11
48;11;19
56;11;19
64;12;19
72;4;11
80;11;19
88;11;19
96;12;19
104;4;11
112;4;11
120;4;11
